Population,Year,Literate,Gender,Race,Age-Group,State
57495.0,2022,Yes,Male,White,45-54,MA
31871.0,2022,Yes,Male,White,45-54,PI
108943.0,2022,Yes,Male,White,45-54,CE
59140.0,2022,Yes,Male,White,45-54,RN
62952.0,2022,Yes,Male,White,45-54,PB
141812.0,2022,Yes,Male,White,45-54,PE
38396.0,2022,Yes,Male,White,45-54,AL
24928.0,2022,Yes,Male,White,45-54,SE
139101.0,2022,Yes,Male,White,45-54,BA
503736.0,2022,Yes,Male,White,45-54,MG
88205.0,2022,Yes,Male,White,45-54,ES
392337.0,2022,Yes,Male,White,45-54,RJ
1559366.0,2022,Yes,Male,White,45-54,SP
451773.0,2022,Yes,Male,White,45-54,PR
363451.0,2022,Yes,Male,White,45-54,SC
517728.0,2022,Yes,Male,White,45-54,RS
65775.0,2022,Yes,Male,White,45-54,MS
70380.0,2022,Yes,Male,White,45-54,MT
150122.0,2022,Yes,Male,White,45-54,GO
65882.0,2022,Yes,Male,White,45-54,DF
23594.0,2022,Yes,Male,White,55-64,RO
4530.0,2022,Yes,Male,White,55-64,AC
22017.0,2022,Yes,Male,White,55-64,AM
4257.0,2022,Yes,Male,White,55-64,RR
52480.0,2022,Yes,Male,White,55-64,PA
4065.0,2022,Yes,Male,White,55-64,AP
14712.0,2022,Yes,Male,White,55-64,TO
40158.0,2022,Yes,Male,White,55-64,MA
24058.0,2022,Yes,Male,White,55-64,PI
84779.0,2022,Yes,Male,White,55-64,CE
45017.0,2022,Yes,Male,White,55-64,RN
47820.0,2022,Yes,Male,White,55-64,PB
106341.0,2022,Yes,Male,White,55-64,PE
27856.0,2022,Yes,Male,White,55-64,AL
18477.0,2022,Yes,Male,White,55-64,SE
110206.0,2022,Yes,Male,White,55-64,BA
467345.0,2022,Yes,Male,White,55-64,MG
79914.0,2022,Yes,Male,White,55-64,ES
369853.0,2022,Yes,Male,White,55-64,RJ
1355313.0,2022,Yes,Male,White,55-64,SP
381323.0,2022,Yes,Male,White,55-64,PR
318854.0,2022,Yes,Male,White,55-64,SC
510675.0,2022,Yes,Male,White,55-64,RS
54186.0,2022,Yes,Male,White,55-64,MS
56780.0,2022,Yes,Male,White,55-64,MT
119779.0,2022,Yes,Male,White,55-64,GO
48675.0,2022,Yes,Male,White,55-64,DF
4820.0,2022,Yes,Male,Black,15-19,RO
3286.0,2022,Yes,Male,Black,15-19,AC
8367.0,2022,Yes,Male,Black,15-19,AM
2115.0,2022,Yes,Male,Black,15-19,RR
33786.0,2022,Yes,Male,Black,15-19,PA
3903.0,2022,Yes,Male,Black,15-19,AP
7885.0,2022,Yes,Male,Black,15-19,TO
32922.0,2022,Yes,Male,Black,15-19,MA
13932.0,2022,Yes,Male,Black,15-19,PI
19169.0,2022,Yes,Male,Black,15-19,CE
9523.0,2022,Yes,Male,Black,15-19,RN
10735.0,2022,Yes,Male,Black,15-19,PB
31430.0,2022,Yes,Male,Black,15-19,PE
11347.0,2022,Yes,Male,Black,15-19,AL
10448.0,2022,Yes,Male,Black,15-19,SE
113541.0,2022,Yes,Male,Black,15-19,BA
80440.0,2022,Yes,Male,Black,15-19,MG
15133.0,2022,Yes,Male,Black,15-19,ES
85908.0,2022,Yes,Male,Black,15-19,RJ
120818.0,2022,Yes,Male,Black,15-19,SP
14891.0,2022,Yes,Male,Black,15-19,PR
10373.0,2022,Yes,Male,Black,15-19,SC
24305.0,2022,Yes,Male,Black,15-19,RS
6012.0,2022,Yes,Male,Black,15-19,MS
13146.0,2022,Yes,Male,Black,15-19,MT
24197.0,2022,Yes,Male,Black,15-19,GO
11329.0,2022,Yes,Male,Black,15-19,DF
6048.0,2022,Yes,Male,Black,20-24,RO
3810.0,2022,Yes,Male,Black,20-24,AC
9965.0,2022,Yes,Male,Black,20-24,AM
2596.0,2022,Yes,Male,Black,20-24,RR
37990.0,2022,Yes,Male,Black,20-24,PA
4636.0,2022,Yes,Male,Black,20-24,AP
9146.0,2022,Yes,Male,Black,20-24,TO
34755.0,2022,Yes,Male,Black,20-24,MA
16456.0,2022,Yes,Male,Black,20-24,PI
26360.0,2022,Yes,Male,Black,20-24,CE
12062.0,2022,Yes,Male,Black,20-24,RN
12939.0,2022,Yes,Male,Black,20-24,PB
38238.0,2022,Yes,Male,Black,20-24,PE
13314.0,2022,Yes,Male,Black,20-24,AL
12344.0,2022,Yes,Male,Black,20-24,SE
126364.0,2022,Yes,Male,Black,20-24,BA
102752.0,2022,Yes,Male,Black,20-24,MG
18802.0,2022,Yes,Male,Black,20-24,ES
105132.0,2022,Yes,Male,Black,20-24,RJ
157287.0,2022,Yes,Male,Black,20-24,SP
20739.0,2022,Yes,Male,Black,20-24,PR
16357.0,2022,Yes,Male,Black,20-24,SC
29748.0,2022,Yes,Male,Black,20-24,RS
7885.0,2022,Yes,Male,Black,20-24,MS
16610.0,2022,Yes,Male,Black,20-24,MT
31198.0,2022,Yes,Male,Black,20-24,GO
15259.0,2022,Yes,Male,Black,20-24,DF
12864.0,2022,Yes,Male,Black,25-34,RO
6503.0,2022,Yes,Male,Black,25-34,AC
19330.0,2022,Yes,Male,Black,25-34,AM
5136.0,2022,Yes,Male,Black,25-34,RR
72489.0,2022,Yes,Male,Black,25-34,PA
8330.0,2022,Yes,Male,Black,25-34,AP
17831.0,2022,Yes,Male,Black,25-34,TO
67561.0,2022,Yes,Male,Black,25-34,MA
31028.0,2022,Yes,Male,Black,25-34,PI
53201.0,2022,Yes,Male,Black,25-34,CE
24575.0,2022,Yes,Male,Black,25-34,RN
25034.0,2022,Yes,Male,Black,25-34,PB
73326.0,2022,Yes,Male,Black,25-34,PE
24094.0,2022,Yes,Male,Black,25-34,AL
23829.0,2022,Yes,Male,Black,25-34,SE
236427.0,2022,Yes,Male,Black,25-34,BA
213295.0,2022,Yes,Male,Black,25-34,MG
39050.0,2022,Yes,Male,Black,25-34,ES
208887.0,2022,Yes,Male,Black,25-34,RJ
332600.0,2022,Yes,Male,Black,25-34,SP
47446.0,2022,Yes,Male,Black,25-34,PR
37431.0,2022,Yes,Male,Black,25-34,SC
60535.0,2022,Yes,Male,Black,25-34,RS
17603.0,2022,Yes,Male,Black,25-34,MS
36597.0,2022,Yes,Male,Black,25-34,MT
64541.0,2022,Yes,Male,Black,25-34,GO
30447.0,2022,Yes,Male,Black,25-34,DF
13863.0,2022,Yes,Male,Black,35-44,RO
5973.0,2022,Yes,Male,Black,35-44,AC
19297.0,2022,Yes,Male,Black,35-44,AM
4729.0,2022,Yes,Male,Black,35-44,RR
70141.0,2022,Yes,Male,Black,35-44,PA
